Date,Open,High,Low,Close,Volume,up_n,down_n,body_n,upper_bb,middle_bb,lower_bb
2026-05-18 21:45:00+03:00,4541.635,4541.985,4541.075,4541.14,480,38.5,7.1,54.4,4543.6199907034015,4541.236200000004,4538.852409296606
2026-05-18 21:46:00+03:00,4541.155,4543.04,4540.935,4542.69,422,16.6,10.5,72.9,4543.650302568382,4541.245600000004,4538.840897431625
2026-05-18 21:47:00+03:00,4542.67,4543.385,4542.285,4543.195,223,17.3,35.0,47.7,4543.8488862855165,4541.326200000005,4538.803513714493
2026-05-18 21:48:00+03:00,4543.2,4543.225,4541.62,4542.025,227,1.6,25.2,73.2,4543.869891420753,4541.337400000005,4538.804908579256
2026-05-18 21:49:00+03:00,4542.085,4542.685,4541.58,4541.81,310,54.3,20.8,24.9,4543.897679366779,4541.358600000004,4538.819520633229
2026-05-18 21:50:00+03:00,4541.815,4541.88,4540.035,4540.73,417,3.5,37.7,58.8,4543.813252010979,4541.421400000004,4539.029547989028
2026-05-18 21:51:00+03:00,4540.685,4541.145,4539.85,4540.42,467,35.5,44.0,20.5,4543.620483142025,4541.497600000004,4539.374716857984
2026-05-18 21:52:00+03:00,4540.41,4541.095,4540.015,4540.065,458,63.4,4.6,31.9,4543.48863482327,4541.542200000004,4539.5957651767385
2026-05-18 21:53:00+03:00,4540.055,4542.3,4539.875,4542.225,414,3.1,7.4,89.5,4543.472683728951,4541.536000000005,4539.599316271058
2026-05-18 21:54:00+03:00,4542.22,4542.22,4540.36,4540.445,417,0.0,4.6,95.4,4543.449270848183,4541.475200000004,4539.501129151826
2026-05-18 21:55:00+03:00,4540.39,4541.05,4540.04,4540.635,311,41.1,34.7,24.3,4543.3894970696,4541.412400000005,4539.435302930409
2026-05-18 21:56:00+03:00,4540.64,4541.415,4540.455,4541.055,241,37.5,19.3,43.2,4543.302466438688,4541.360000000004,4539.417533561321
2026-05-18 21:57:00+03:00,4541.035,4541.935,4540.47,4541.79,268,9.9,38.6,51.5,4543.099615860631,4541.302400000004,4539.505184139377
2026-05-18 21:58:00+03:00,4541.745,4541.745,4535.175,4535.175,1146,0.0,0.0,100.0,4544.077641219455,4541.079400000005,4538.081158780556
2026-05-18 21:59:00+03:00,4535.155,4536.555,4534.375,4535.855,675,32.1,35.8,32.1,4544.337707800298,4540.798600000005,4537.259492199712
2026-05-18 22:00:00+03:00,4535.86,4538.045,4535.335,4537.92,608,4.6,19.4,76.0,4544.254730742736,4540.615000000004,4536.975269257273
2026-05-18 22:01:00+03:00,4537.92,4556.15,4537.91,4552.23,2780,21.5,0.1,78.5,4546.862731187272,4541.037000000005,4535.211268812737
2026-05-18 22:02:00+03:00,4552.205,4557.135,4548.865,4556.71,2753,5.1,40.4,54.5,4550.129783828801,4541.664000000005,4533.198216171209
2026-05-18 22:03:00+03:00,4556.69,4565.07,4556.675,4558.405,2769,79.4,0.2,20.4,4553.061627276923,4542.362000000005,4531.662372723086
2026-05-18 22:04:00+03:00,4558.43,4560.18,4553.345,4553.455,2109,25.6,1.6,72.8,4554.394277468474,4542.906600000005,4531.418922531536
2026-05-18 22:05:00+03:00,4553.525,4558.175,4553.525,4557.81,1979,7.8,0.0,92.2,4556.431054017568,4543.601200000005,4530.771345982442
2026-05-18 22:06:00+03:00,4557.855,4560.155,4552.295,4554.105,2006,29.3,23.0,47.7,4557.542560984856,4544.158800000005,4530.775039015153
2026-05-18 22:07:00+03:00,4554.13,4555.87,4552.985,4554.145,1421,59.8,39.7,0.5,4558.554789105929,4544.682200000005,4530.809610894081
2026-05-18 22:08:00+03:00,4554.17,4555.55,4551.2,4553.05,1159,31.7,42.5,25.7,4559.327762193262,4545.148000000005,4530.968237806747
2026-05-18 22:09:00+03:00,4553.055,4557.425,4552.555,4556.99,1491,8.9,10.3,80.8,4560.595157491132,4545.763000000005,4530.930842508878
2026-05-18 22:10:00+03:00,4557.01,4557.95,4555.07,4555.155,1064,32.6,3.0,64.4,4561.470540681185,4546.323600000005,4531.176659318825
2026-05-18 22:11:00+03:00,4555.145,4558.405,4553.795,4557.805,1160,13.0,29.3,57.7,4562.642739982717,4546.928200000006,4531.213660017294
2026-05-18 22:12:00+03:00,4557.825,4557.925,4554.935,4555.095,845,3.3,5.4,91.3,4563.356693136692,4547.404200000005,4531.451706863319
2026-05-18 22:13:00+03:00,4555.08,4556.74,4554.705,4556.335,689,19.9,18.4,61.7,4564.141475922707,4547.976600000005,4531.811724077304
2026-05-18 22:14:00+03:00,4556.35,4557.01,4553.485,4554.5,613,18.7,28.8,52.5,4564.639602479969,4548.484200000005,4532.328797520042
2026-05-18 22:15:00+03:00,4554.525,4555.48,4552.24,4553.185,645,29.5,29.2,41.4,4564.917248627975,4548.982400000005,4533.047551372036
2026-05-18 22:16:00+03:00,4553.205,4555.72,4552.81,4553.21,644,86.3,13.6,0.2,4565.114554657397,4549.494000000006,4533.873445342615
2026-05-18 22:17:00+03:00,4553.245,4554.475,4551.015,4551.545,637,35.5,15.3,49.1,4565.105967365774,4549.953200000006,4534.800432634239
2026-05-18 22:18:00+03:00,4551.51,4553.495,4551.2,4553.195,730,13.1,13.5,73.4,4565.256778768569,4550.392000000005,4535.527221231441
2026-05-18 22:19:00+03:00,4553.22,4554.0,4551.42,4551.735,903,30.2,12.2,57.6,4565.14757189667,4550.843600000005,4536.539628103339
2026-05-18 22:20:00+03:00,4551.785,4554.475,4551.38,4553.96,829,16.6,13.1,70.3,4565.100545699351,4551.376600000006,4537.652654300661
2026-05-18 22:21:00+03:00,4553.965,4555.435,4552.735,4554.42,966,37.6,45.6,16.9,4565.012337129333,4551.911200000005,4538.810062870677
2026-05-18 22:22:00+03:00,4554.395,4555.94,4553.445,4553.95,933,61.9,20.2,17.8,4564.846227907366,4552.397600000006,4539.948972092646
2026-05-18 22:23:00+03:00,4553.8,4554.795,4552.29,4553.365,693,39.7,42.9,17.4,4563.398543937965,4553.125200000006,4542.851856062047
2026-05-18 22:24:00+03:00,4553.37,4554.025,4549.85,4550.335,912,15.7,11.6,72.7,4561.302016097515,4553.704400000006,4546.106783902497
2026-05-18 22:25:00+03:00,4550.365,4550.45,4546.75,4549.16,1215,2.3,65.1,32.6,4558.665750859404,4554.154000000006,4549.642249140607
2026-05-18 22:26:00+03:00,4549.07,4550.07,4548.59,4549.65,1212,28.4,32.4,39.2,4558.843166142296,4554.050800000006,4549.258433857717
2026-05-18 22:27:00+03:00,4549.61,4550.43,4547.72,4547.89,878,30.3,6.3,63.5,4558.933490408245,4553.698000000006,4548.462509591766
2026-05-18 22:28:00+03:00,4547.885,4549.135,4547.805,4548.28,622,64.3,6.0,29.7,4558.57562054419,4553.293000000006,4548.010379455822
2026-05-18 22:29:00+03:00,4548.31,4552.145,4548.31,4551.79,660,9.3,0.0,90.7,4558.541057093136,4553.226400000005,4547.911742906874
2026-05-18 22:30:00+03:00,4551.795,4552.125,4550.405,4551.49,761,19.2,63.1,17.7,4557.984673736254,4552.973600000006,4547.962526263757
2026-05-18 22:31:00+03:00,4551.495,4555.355,4551.495,4555.355,878,0.0,0.0,100.0,4558.103306683696,4553.023600000006,4547.943893316316
2026-05-18 22:32:00+03:00,4555.395,4556.9,4555.385,4556.54,840,23.8,0.7,75.6,4558.367629645085,4553.119400000005,4547.871170354925
2026-05-18 22:33:00+03:00,4556.645,4557.47,4555.4,4556.43,744,39.9,49.8,10.4,4558.660489306142,4553.254600000006,4547.848710693869
2026-05-18 22:34:00+03:00,4556.38,4557.135,4556.015,4556.455,451,60.7,32.6,6.7,4558.583723608373,4553.233200000005,4547.882676391638
2026-05-18 22:35:00+03:00,4556.47,4558.835,4556.28,4558.8,707,1.4,7.4,91.2,4559.115760744978,4553.379000000005,4547.642239255033
2026-05-18 22:36:00+03:00,4558.85,4559.055,4555.925,4556.68,613,6.5,24.1,69.3,4558.947507268259,4553.334000000005,4547.720492731752
2026-05-18 22:37:00+03:00,4556.675,4557.62,4555.94,4557.12,652,29.8,43.8,26.5,4559.1840941987975,4553.4150000000045,4547.645905801212
2026-05-18 22:38:00+03:00,4557.14,4558.91,4557.12,4558.5,541,22.9,1.1,76.0,4559.503714765193,4553.501600000004,4547.499485234815
2026-05-18 22:39:00+03:00,4558.505,4559.615,4558.37,4559.455,586,12.9,10.8,76.3,4560.132500498749,4553.699800000005,4547.26709950126
2026-05-18 22:40:00+03:00,4559.48,4561.38,4558.87,4558.95,809,75.7,3.2,21.1,4560.67835252159,4553.930400000005,4547.18244747842
2026-05-18 22:41:00+03:00,4558.925,4560.405,4558.35,4558.755,783,72.0,19.7,8.3,4561.150723310535,4554.152200000004,4547.153676689473
2026-05-18 22:42:00+03:00,4558.78,4559.49,4557.86,4557.955,714,43.6,5.8,50.6,4561.475605875363,4554.408600000004,4547.341594124646
2026-05-18 22:43:00+03:00,4557.965,4560.25,4557.965,4559.71,687,23.6,0.0,76.4,4562.013044041836,4554.669200000005,4547.3253559581735
2026-05-18 22:44:00+03:00,4559.655,4560.1,4557.91,4558.23,484,20.3,14.6,65.1,4562.298750598466,4554.929000000005,4547.559249401544
2026-05-18 22:45:00+03:00,4558.185,4559.53,4557.915,4558.615,592,56.7,16.7,26.6,4562.611743454336,4555.115200000004,4547.618656545672
2026-05-18 22:46:00+03:00,4558.63,4561.59,4558.23,4559.535,568,61.2,11.9,26.9,4563.006082047852,4555.319800000005,4547.6335179521575
